" Appointment"," OTP"," Member"," Affiliation"," Start date"," End date"," Status"
"Publication Committee member // General // Publications Committee // Appointments",".15","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2007-03-01","2009-02-28","inactive"
"Speakers Committee Chair // General // Speakers Committee",".45","ANNA, Kaczmarska","Krakow IFJ PAN(Poland)","2011-05-01","2011-10-31","inactive"
"Speakers Committee Deputy Chair // General // Speakers Committee",".3","ANNA, Kaczmarska","Krakow IFJ PAN(Poland)","2010-10-01","2011-04-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2016-10-01","2019-09-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","ANNA, Kaczmarska","Krakow IFJ PAN(Poland)","2008-11-01","2011-10-31","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","KRZYSZTOF WIESLAW, Wozniak","Krakow IFJ PAN(Poland)","2020-10-01","2023-09-30","inactive"
"SCAB Chair // General // Speakers Committee Advisory Board (SCAB)",".15","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2021-03-01","2022-02-28","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2020-03-01","2022-02-28","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2007-10-01","2010-10-01","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","ADAM, Trzupek","Krakow IFJ PAN(Poland)","2013-10-01","2015-09-30","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","DOMINIK KAROL, Derendarz","Krakow IFJ PAN(Poland)","2019-10-01","2021-09-30","inactive"
"SCAB Deputy Chair // General // Speakers Committee Advisory Board (SCAB)",".15","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2020-09-01","2021-02-28","inactive"
"Forward Detectors System IB Chair // Activities and Detector Projects // Forward Detectors",".15","JANUSZ, Chwastowski","Krakow IFJ PAN(Poland)","2018-03-01","2019-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2010-01-01","2011-12-31","inactive"
"DP - Prompt Reconstruction Operation Coordinator (PROC) // Activities and Detector Projects // Data Preparation // PROC","0","ANDRZEJ, Olszewski","Krakow IFJ PAN(Poland)","2011-01-01","2015-12-31","inactive"
"Trigger MinBias/Fwd Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","KRZYSZTOF WIESLAW, Wozniak","Krakow IFJ PAN(Poland)","2015-03-01","2018-03-31","inactive"
"Convener of subgroup: Correlations and Fluctuations (discontinued on 31.03.17) // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","ADAM, Trzupek","Krakow IFJ PAN(Poland)","2017-04-01","2017-09-30","inactive"
"Convener of subgroup: Correlations and Fluctuations (discontinued on 31.03.17) // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","BARBARA KRYSTYNA, Wosiek","Krakow IFJ PAN(Poland)","2014-10-01","2016-03-31","inactive"
"Convener of subgroup: Soft QCD and Diffractive Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2018-04-01","2020-03-31","inactive"
"Convener of subgroup: ID Alignment // Activities and Detector Projects // Physics // Combined Performance Groups // Tracking CP group","","PAWEL, Bruckman De Renstrom","Krakow IFJ PAN(Poland)","2022-10-01","2025-03-31","active"
"Convener of subgroup: ID Alignment // Activities and Detector Projects // Physics // Combined Performance Groups // Tracking CP group","","PAWEL, Bruckman De Renstrom","Krakow IFJ PAN(Poland)","2011-12-01","2015-03-31","inactive"
"TRT DCS Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","JOLANTA, Olszowska","Krakow IFJ PAN(Poland)","2015-01-01","2018-12-31","inactive"
"TRT DCS Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","JOLANTA, Olszowska","Krakow IFJ PAN(Poland)","2021-01-01","2021-10-22","inactive"
"TRT DCS Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","ELZBIETA, Banas","Krakow IFJ PAN(Poland)","2022-01-01","2023-12-31","inactive"
"TRT DCS Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","ELZBIETA, Banas","Krakow IFJ PAN(Poland)","2024-01-01","2024-12-31","inactive"
"TRT Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","DOMINIK KAROL, Derendarz","Krakow IFJ PAN(Poland)","2015-03-01","2020-12-31","inactive"
"TRT Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","DOMINIK KAROL, Derendarz","Krakow IFJ PAN(Poland)","2021-01-01","2021-09-30","inactive"
"Convener of subgroup: Correlations and Global // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","DOMINIK KAROL, Derendarz","Krakow IFJ PAN(Poland)","2017-10-01","2019-09-30","inactive"
"Convener of subgroup: Correlations and Global // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","ADAM, Trzupek","Krakow IFJ PAN(Poland)","2019-10-01","2021-09-30","inactive"
"Convener of subgroup: Correlations and Global // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","ADAM, Trzupek","Krakow IFJ PAN(Poland)","2017-04-01","2017-09-30","inactive"
"FWD SSC Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","MACIEJ PIOTR, Lewicki","Krakow IFJ PAN(Poland)","2023-03-01","2024-02-29","inactive"
"FWD SSC Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2017-03-01","2018-02-28","inactive"
"FWD SSC Deputy Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2016-03-01","2017-02-28","inactive"
"FWD SSC Deputy Chair // Activities and Detector Projects // Forward Detectors // FWD Common","0","MACIEJ PIOTR, Lewicki","Krakow IFJ PAN(Poland)","2022-03-01","2023-02-28","inactive"
"ARP Project Responsible // Activities and Detector Projects // Forward Detectors // ARP",".5","MACIEJ, Trzebinski","Krakow IFJ PAN(Poland)","2021-03-01","2023-04-10","inactive"
"ARP Combined Performances Coordinator // Activities and Detector Projects // Forward Detectors // ARP","","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2022-03-01","2024-02-29","inactive"
"ARP Combined Performances Coordinator // Activities and Detector Projects // Forward Detectors // ARP","","MACIEJ PIOTR, Lewicki","Krakow IFJ PAN(Poland)","2024-03-01","2026-02-28","active"
"ARP Combined Performances Coordinator // Activities and Detector Projects // Forward Detectors // ARP","","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2018-05-18","2022-02-28","inactive"
"AFP Analysis coordinator // Activities and Detector Projects // Forward Detectors // AFP // Level-3 Coordinators",".3","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2015-01-01","2019-01-01","inactive"
"ITk Strip Power Supplies Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Strips // Level-3 Coordinators","","EWA, Stanecka","Krakow IFJ PAN(Poland)","2021-10-01","2025-09-30","active"
"ITk Strip Power Supplies Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Strips // Level-3 Coordinators","","EWA, Stanecka","Krakow IFJ PAN(Poland)","2017-10-02","2021-09-30","inactive"
"TRT Deputy Project Leader // Activities and Detector Projects // Inner Detector (ID)","","DOMINIK KAROL, Derendarz","Krakow IFJ PAN(Poland)","2021-03-01","2021-09-30","inactive"
"Convener LHC Forward Physics WG // Activities and Detector Projects // Physics // Physics Analysis Groups // LHC Working Groups","","RAFAL, Staszewski","Krakow IFJ PAN(Poland)","2020-10-01","2021-09-30","inactive"
"ICB Scrutiny Group Member // Activities and Detector Projects // Software and Computing // General","","ANDRZEJ, Olszewski","Krakow IFJ PAN(Poland)","2015-04-01","2018-03-31","inactive"
"ARP DAQ Coordinator // Activities and Detector Projects // Forward Detectors // ARP // ARP Subgroup Coordinators","","KRZYSZTOF MARIAN, Korcyl","Krakow IFJ PAN(Poland)","2022-03-01","2025-02-28","active"
"ARP DCS Coordinator // Activities and Detector Projects // Forward Detectors // ARP // ARP Subgroup Coordinators","","ELZBIETA, Banas","Krakow IFJ PAN(Poland)","2022-03-01","2025-02-28","active"
"Publication Committee member // General // Publications Committee // Appointments",".15","ELZBIETA, Richter-Was","Krakow Jagiellonian(Poland)","2001-03-01","2003-02-28","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","ELZBIETA, Richter-Was","Krakow Jagiellonian(Poland)","2017-10-01","2020-09-30","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","ELZBIETA, Richter-Was","Krakow Jagiellonian(Poland)","2000-01-01","2001-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","ELZBIETA, Richter-Was","Krakow Jagiellonian(Poland)","1999-03-01","1999-12-31","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","TOSHI, Sumida","Kyoto(Japan)","2022-10-01","2023-09-30","inactive"
"Trigger HLT Calo Software Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","TOSHI, Sumida","Kyoto(Japan)","2017-03-01","2018-11-30","inactive"
"Muon TGC Coordinator // Activities and Detector Projects // Muon Spectrometer // TGC","","TOSHI, Sumida","Kyoto(Japan)","2012-01-01","2016-03-01","inactive"
"Muon Run Coordinator // Activities and Detector Projects // Muon Spectrometer // Run Coordination","","TOSHI, Sumida","Kyoto(Japan)","2013-07-01","2014-07-01","inactive"
"TRT DAQ Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","SHION, Chen","Kyoto(Japan)","2021-01-01","2021-12-31","inactive"
"Muon System Performance Coordinator // Activities and Detector Projects // Muon Spectrometer // System Performance","","TOSHI, Sumida","Kyoto(Japan)","2020-05-01","2021-09-30","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","KIYOTOMO, Kawagoe","Kyushu(Japan)","2009-03-01","2011-02-28","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","JUNJI, Tojo","Kyushu(Japan)","2016-03-01","2018-02-28","inactive"
"DP - Prompt Reconstruction Operation Coordinator (PROC) // Activities and Detector Projects // Data Preparation // PROC","0","SUSUMU, Oda","Kyushu(Japan)","2011-01-01","2011-12-31","inactive"
"DP - Conditions Coordinator // Activities and Detector Projects // Data Preparation // Conditions","0","SUSUMU, Oda","Kyushu(Japan)","2015-01-01","2016-12-31","inactive"
"SCT Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","HIDETOSHI, Otono","Kyushu(Japan)","2017-07-01","2017-10-31","inactive"
"SCT Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","HIDETOSHI, Otono","Kyushu(Japan)","2017-01-01","2017-06-30","inactive"
"SCT Deputy Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","HIDETOSHI, Otono","Kyushu(Japan)","2016-07-01","2016-12-31","inactive"
"SCT Offline Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","SUSUMU, Oda","Kyushu(Japan)","2021-01-01","2021-02-28","inactive"
"SCT Offline Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","SUSUMU, Oda","Kyushu(Japan)","2019-01-01","2019-12-31","inactive"
"SCT Offline Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","SUSUMU, Oda","Kyushu(Japan)","2016-02-01","2018-01-31","inactive"
"SCT Offline Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","SUSUMU, Oda","Kyushu(Japan)","2018-02-01","2018-12-31","inactive"
"SCT Offline Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators","","SUSUMU, Oda","Kyushu(Japan)","2020-01-01","2020-12-31","inactive"
"SCT DQ Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators",".5","HIDETOSHI, Otono","Kyushu(Japan)","2013-07-01","2016-12-31","inactive"
"ITk Steering Member-at-large // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // General","","JUNJI, Tojo","Kyushu(Japan)","2023-03-01","2025-02-28","active"
"Speakers Committee Chair // General // Speakers Committee",".45","JAN, Stark","L2IT(France)","2013-11-01","2014-04-30","inactive"
"Speakers Committee Deputy Chair // General // Speakers Committee",".3","JAN, Stark","L2IT(France)","2013-05-01","2013-10-31","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","JAN, Stark","L2IT(France)","2011-11-01","2014-10-31","inactive"
"Convener of subgroup: Jet and Photon Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","HEBERTH, Torres","L2IT(France)","2017-04-01","2018-03-31","inactive"
"Convener of subgroup: Electroweak Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","JOANY, Manjarres","L2IT(France)","2018-04-01","2020-03-31","inactive"
"Convener of subgroup: Calibrations // Activities and Detector Projects // Physics // Combined Performance Groups // Flavour tagging CP group","0","ANGELA MARIA, Burger","L2IT(France)","2021-10-01","2023-09-30","inactive"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","JOANY, Manjarres","L2IT(France)","2015-09-01","2017-09-01","inactive"
"Isolation and Fake Forum Convener (IFF) // Activities and Detector Projects // Physics // Combined Performance Groups // Muon CP group // Isolation and Fake Forum","","HEBERTH, Torres","L2IT(France)","2020-01-01","2021-12-31","inactive"
"Isolation and Fake Forum Convener (IFF) // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group // Isolation and Fake Forum","","HEBERTH, Torres","L2IT(France)","2020-01-01","2021-12-31","inactive"
"Convener of subgroup: Upgrade Tracking // Activities and Detector Projects // Physics // Combined Performance Groups // Tracking CP group","","ALEXIS, Vallier","L2IT(France)","2023-10-01","2025-09-30","active"
"Convener of subgroup: Dibosons, Multileptons and Extra Dimensions (DBL) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs & Diboson Searches (HDBS) group","0","JOANY, Manjarres","L2IT(France)","2021-10-01","2023-09-30","inactive"
"Convener of subgroup: Jet and Photon Processes // Activities and Detector Projects // Physics // Physics Analysis Groups // Physics Modeling group","0","HEBERTH, Torres","L2IT(France)","2021-10-01","2023-09-30","inactive"
"Speakers Committee Chair // General // Speakers Committee",".45","HERNAN PABLO, Wahlberg","La Plata(Argentina)","2024-10-01","2025-03-31","active"
"Speakers Committee Deputy Chair // General // Speakers Committee",".3","HERNAN PABLO, Wahlberg","La Plata(Argentina)","2024-04-01","2024-09-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","HERNAN PABLO, Wahlberg","La Plata(Argentina)","2022-10-01","2025-09-30","active"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","FERNANDO, Monticelli","La Plata(Argentina)","2020-03-01","2022-02-28","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","FERNANDO, Monticelli","La Plata(Argentina)","2022-01-01","2023-12-31","inactive"
"Trigger E/gamma Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","FERNANDO, Monticelli","La Plata(Argentina)","2017-03-01","2021-03-31","inactive"
"Trigger Tau Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","JOSEFINA, Alconada","La Plata(Argentina)","2019-05-01","2021-03-31","inactive"
"Convener of subgroup: Photon Identification and Efficiencies // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","FRANCISCO, Alonso","La Plata(Argentina)","2019-10-01","2021-09-30","inactive"
"Isolation and Fake Forum Convener (IFF) // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group // Isolation and Fake Forum","","FRANCISCO, Alonso","La Plata(Argentina)","2024-01-01","2025-12-31","active"
"Isolation and Fake Forum Convener (IFF) // Activities and Detector Projects // Physics // Combined Performance Groups // Muon CP group // Isolation and Fake Forum","","FRANCISCO, Alonso","La Plata(Argentina)","2024-01-01","2025-12-31","active"
"Contact on Diversity and Inclusion // General // Diversity and Inclusion (D&I)","","MARIA TERESA, Dova","La Plata(Argentina)","2023-03-01","2025-02-28","active"
"Early Career Scientist Board (ECSB) member // General // Early Career Scientist Board (ECSB)",".1","JOSEFINA, Alconada","La Plata(Argentina)","2021-03-01","2021-05-02","inactive"
"Data Preparation Coordinator // Activities and Detector Projects // Data Preparation",".3","JAMES, Ferrando","Lancaster(United Kingdom)","2022-10-01","2023-09-30","inactive"
"Data Preparation Deputy Coordinator // Activities and Detector Projects // Data Preparation",".3","JAMES, Ferrando","Lancaster(United Kingdom)","2021-10-01","2022-09-30","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","MARIA, Smizanska","Lancaster(United Kingdom)","2003-03-01","2005-02-28","inactive"
"Speakers Committee Chair // General // Speakers Committee",".45","JAMES, Ferrando","Lancaster(United Kingdom)","2018-10-01","2019-03-31","inactive"
"Speakers Committee Deputy Chair // General // Speakers Committee",".3","JAMES, Ferrando","Lancaster(United Kingdom)","2018-04-01","2018-09-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","JAMES, Ferrando","Lancaster(United Kingdom)","2016-10-01","2019-09-30","inactive"
"Convener B-Physics and Light States WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","MARIA, Smizanska","Lancaster(United Kingdom)","2007-01-01","2008-09-30","inactive"
"ICB Chair (without OTP; discontinued) // Activities and Detector Projects // Software and Computing","0","ROGER, Jones","Lancaster(United Kingdom)","2005-03-01","2007-02-28","inactive"
"ICB Chair (without OTP; discontinued) // Activities and Detector Projects // Software and Computing","0","ROGER, Jones","Lancaster(United Kingdom)","2007-03-01","2009-02-28","inactive"
"ICB Chair (without OTP; discontinued) // Activities and Detector Projects // Software and Computing","0","ROGER, Jones","Lancaster(United Kingdom)","2003-03-01","2005-02-28","inactive"
"DP - Conditions Coordinator // Activities and Detector Projects // Data Preparation // Conditions","0","JAMES, Ferrando","Lancaster(United Kingdom)","2024-01-01","2026-03-31","active"
"DP - Beamspot Convener // Activities and Detector Projects // Data Preparation // Beamspot","0","GUENNADI, Borissov","Lancaster(United Kingdom)","2021-05-01","2026-03-31","active"
"Trigger B-physics and Light States Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","ADAM EDWARD, Barton","Lancaster(United Kingdom)","2019-05-01","2026-03-31","active"
"Convener of subgroup: Quarkonia Production and b Cross-Section Measurements // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","MICHAEL DAVID, Beattie","Lancaster(United Kingdom)","2015-10-01","2016-09-30","inactive"
"Convener of subgroup: Quarkonia Production and b Cross-Section Measurements // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","VATO, Kartvelishvili","Lancaster(United Kingdom)","2008-10-01","2010-09-30","inactive"
"Convener of subgroup: Quarkonia Production and b Cross-Section Measurements // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","VATO, Kartvelishvili","Lancaster(United Kingdom)","2019-04-01","2021-03-31","inactive"
"Convener of subgroup: Quarkonia Production and b Cross-Section Measurements // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","EVA, Bouhova-Thacker","Lancaster(United Kingdom)","2021-04-01","2023-09-30","inactive"
"Convener of subgroup: Physics with B to J/psi // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","MARIA, Smizanska","Lancaster(United Kingdom)","2008-10-01","2010-09-30","inactive"
"Convener of subgroup: Physics with B to J/psi // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","MARIA, Smizanska","Lancaster(United Kingdom)","2017-04-01","2019-03-31","inactive"
"Convener of subgroup: Physics with B to J/psi // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","ADAM EDWARD, Barton","Lancaster(United Kingdom)","2014-10-01","2016-03-31","inactive"
"Convener of subgroup: Physics with B to J/psi // Activities and Detector Projects // Physics // Physics Analysis Groups // B-Physics and Light States group","0","ANDREW MARK, Wharton","Lancaster(United Kingdom)","2021-04-01","2023-09-30","inactive"
"Convener of subgroup: PDF Forum // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","JAMES, Ferrando","Lancaster(United Kingdom)","2016-05-01","2017-03-31","inactive"
"Convener of subgroup: Top Properties (discontinued on 31.03.2020) // Activities and Detector Projects // Physics // Physics Analysis Groups // Top physics group","","JAMES, Ferrando","Lancaster(United Kingdom)","2014-04-01","2015-03-31","inactive"
"Convener of subgroup: Dibosons, Multileptons and Extra Dimensions (DBL) (discontinued, restarted under HDBS since 01.10.2018) // Activities and Detector Projects // Physics // Physics Analysis Groups // Exotics physics group","0","JAMES, Ferrando","Lancaster(United Kingdom)","2010-10-01","2011-09-30","inactive"
"Convener of subgroup: Heavy Quarks, Top and Composite Higgs (HQT) // Activities and Detector Projects // Physics // Physics Analysis Groups // Exotics physics group","0","JAMES, Ferrando","Lancaster(United Kingdom)","2011-10-01","2012-09-30","inactive"
"Convener of subgroup: Tracking and Vertexing for Prompt and Displaced Particles // Activities and Detector Projects // Physics // Combined Performance Groups // Tracking CP group","","GUENNADI, Borissov","Lancaster(United Kingdom)","2014-10-01","2015-09-30","inactive"
"Convener of subgroup: Jet/Etmiss Software and Validation (JSV) // Activities and Detector Projects // Physics // Combined Performance Groups // Jet/Etmiss CP group","","JAMES, Ferrando","Lancaster(United Kingdom)","2017-04-01","2018-03-31","inactive"
"Physics Validation Coordinator // Activities and Detector Projects // Software and Computing // Software","0","JAMES, Ferrando","Lancaster(United Kingdom)","2019-10-01","2021-09-30","inactive"
"ADC development coordinator // Activities and Detector Projects // Software and Computing // ADC","0","PETER, Love","Lancaster(United Kingdom)","2014-03-01","2016-02-29","inactive"
"Infrastructure and Facilities coordinator // Activities and Detector Projects // Software and Computing // ADC","","PETER, Love","Lancaster(United Kingdom)","2019-10-01","2020-12-31","inactive"
"Software & Computing Speakers Committee Member // Activities and Detector Projects // Software and Computing // General","0","ROGER, Jones","Lancaster(United Kingdom)","2021-07-01","2024-06-30","inactive"
"Convener LHC Heavy Flavour WG // Activities and Detector Projects // Physics // Physics Analysis Groups // LHC Working Groups","","MARIA, Smizanska","Lancaster(United Kingdom)","2015-10-01","2023-09-30","inactive"
"Documentation Coordinator // General // Other // Appointments","","MARIA, Smizanska","Lancaster(United Kingdom)","2019-10-01","2024-09-30","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","AARON, Angerami","Lawrence Livermore(United States of America)","2022-05-01","2024-09-30","inactive"
"Convener of subgroup: Jets // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","0","DHANUSH ANIL, Hangal","Lawrence Livermore(United States of America)","2022-08-01","2024-07-31","inactive"
"Convener of subgroup: Jets // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","0","AARON, Angerami","Lawrence Livermore(United States of America)","2020-10-01","2022-05-31","inactive"
"Convener of subgroup: Ultra-Peripheral Collisions (UPC) // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","BENJAMIN JACOB, Gilbert","Lawrence Livermore(United States of America)","2024-04-01","2026-03-31","active"
"Convener of subgroup: Ultra-Peripheral Collisions (UPC) // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","AARON, Angerami","Lawrence Livermore(United States of America)","2017-04-01","2020-03-31","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","STEFANIA, Spagnolo","Lecce(Italy)","2018-03-01","2020-02-29","inactive"
"Speakers Committee Chair // General // Speakers Committee",".45","MARGHERITA, Primavera","Lecce(Italy)","2022-10-01","2023-03-31","inactive"
"Speakers Committee Deputy Chair // General // Speakers Committee",".3","MARGHERITA, Primavera","Lecce(Italy)","2022-04-01","2022-09-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","STEFANIA, Spagnolo","Lecce(Italy)","2014-07-01","2015-09-30","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","MARGHERITA, Primavera","Lecce(Italy)","2020-10-01","2023-09-30","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","MARGHERITA, Primavera","Lecce(Italy)","2009-03-01","2011-02-28","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","STEFANIA, Spagnolo","Lecce(Italy)","2022-01-01","2023-12-31","inactive"
"TDAQ Speakers Committee member // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // General",".2","MARGHERITA, Primavera","Lecce(Italy)","2025-01-01","2026-12-31","active"
"DP - Non-collision Background Group Convener (NCB) // Activities and Detector Projects // Data Preparation // Background","0","SERGIO, Grancagnolo","Lecce(Italy)","2020-01-01","2021-12-31","inactive"
"DP - Non-collision Background Group Convener (NCB) // Activities and Detector Projects // Data Preparation // Background","0","SERGIO, Grancagnolo","Lecce(Italy)","2018-01-01","2019-12-31","inactive"
"Trigger Muon Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","ANDREA, Ventura","Lecce(Italy)","2022-01-01","2023-03-31","inactive"
"Trigger Muon Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","MARGHERITA, Primavera","Lecce(Italy)","2008-01-01","2010-02-28","inactive"
"Convener of subgroup: Top Reconstruction // Activities and Detector Projects // Physics // Physics Analysis Groups // Top physics group","","SERGIO, Grancagnolo","Lecce(Italy)","2016-10-01","2017-11-30","inactive"
"Muon Software Coordinator // Activities and Detector Projects // Muon Spectrometer // Software","","STEFANIA, Spagnolo","Lecce(Italy)","2009-10-01","2012-11-30","inactive"
"SCT DQ Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators",".5","SERGIO, Grancagnolo","Lecce(Italy)","2021-12-01","2022-12-31","inactive"
"SCT DQ Coordinator // Activities and Detector Projects // Inner Detector (ID) // SCT // Level-3 Coordinators",".5","SERGIO, Grancagnolo","Lecce(Italy)","2023-01-01","2024-12-31","inactive"
"NSW commissioning coordinator // Activities and Detector Projects // Muon Spectrometer // NSW // Level-3 Coordinators","0","LUIGI, Longo","Lecce(Italy)","2021-01-01","2022-01-01","inactive"
"Convener of subgroup: Strong Production // Activities and Detector Projects // Physics // Physics Analysis Groups // Supersymmetry physics group","0","LUIGI, Longo","Lecce(Italy)","2021-10-01","2022-12-31","inactive"
"Physics Office Member // General // Physics Office // Appointments","0","ANDREA, Ventura","Lecce(Italy)","2024-01-15","2025-12-31","active"
"ITk Pixel Offline Software Contact // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","LUIGI, Longo","Lecce(Italy)","2021-10-01","2023-01-13","inactive"
"Collaboration Board Chair // General // Collaboration Board",".3","MAX, Klein","Liverpool(United Kingdom)","2018-01-01","2019-12-31","inactive"
